id,complaint_id,fraud_type,amount,mule_account_id,withdrawal_atm_id,withdrawal_lat,withdrawal_long,location_name,timestamp,status
34,CMP10033,Lottery Fraud,49421,MULE_RAND_9827,ATM_GEN_61939,33.37526,74.3092,"Rajaori, India",2025-05-28 00:11:46,Open
35,CMP10034,Lottery Fraud,6689,MULE_RAND_3735,ATM_GEN_76297,11.50526,77.23826,"Sathyamangalam, India",2025-08-03 09:23:29,Open
36,CMP10035,UPI Phishing,2095,MULE_BLR_914,ATM_BLR_8180,12.976828944527838,77.58985328695815,Bangalore Urban,2025-04-24 20:37:10,Open
37,CMP10036,Matrimonial Scam,63019,MULE_RAND_1548,ATM_GEN_90999,19.21667,73.08333,"Dombivli, India",2025-08-13 05:18:43,Open
38,CMP10037,Job Scam,72677,MULE_RAND_6975,ATM_GEN_69210,18.18158,76.03889,"Osmanabad, India",2025-10-01 15:05:07,Open
39,CMP10038,Matrimonial Scam,28452,MULE_RAND_3345,ATM_GEN_60938,14.62072,74.83554,"Sirsi, India",2025-01-18 19:06:51,Open
40,CMP10039,Job Scam,83827,MULE_RAND_3655,ATM_GEN_69780,30.21121,74.4818,"Malaut, India",2025-10-28 05:31:09,Open
41,CMP10040,UPI Phishing,16376,MULE_BLR_619,ATM_BLR_8151,12.977868269368921,77.6030240665557,Bangalore Urban,2025-04-23 09:17:28,Open
42,CMP10041,Lottery Fraud,16930,MULE_RAND_8346,ATM_GEN_55819,11.50526,77.23826,"Sathyamangalam, India",2025-04-01 09:46:05,Open
43,CMP10042,Job Scam,11534,MULE_RAND_9190,ATM_GEN_15112,25.87498,86.59611,"Saharsa, India",2025-05-28 15:01:59,Open
44,CMP10043,Job Scam,46290,MULE_RAND_6635,ATM_GEN_90173,29.21399,78.95693,"Kashipur, India",2025-06-26 02:05:25,Open
45,CMP10044,Matrimonial Scam,96477,MULE_RAND_4898,ATM_GEN_36413,19.21667,73.08333,"Dombivli, India",2025-03-05 04:02:45,Open
46,CMP10045,Job Scam,46369,MULE_RAND_3947,ATM_GEN_35279,22.19303,88.18466,"Diamond Harbour, India",2025-05-18 23:21:46,Open
47,CMP10046,Investment Scam,89795,MULE_RINGLEADER_02,ATM_DEL_02,28.62884681957692,77.21867395848071,Connaught Place Block B,2025-03-23 08:44:49,Open
48,CMP10047,Job Scam,30310,MULE_RAND_8314,ATM_GEN_72259,23.1959,86.51499,"Kenda, India",2025-09-30 13:26:21,Open
49,CMP10048,Investment Scam,384418,MULE_RINGLEADER_01,ATM_DEL_02,28.629358250984467,77.21931163111702,Connaught Place Block B,2025-09-23 11:07:33,Open
50,CMP10049,Job Scam,31816,MULE_RAND_8196,ATM_GEN_60805,25.13915,73.06784,"Sheoganj, India",2025-08-25 13:30:44,Open
51,CMP10050,Matrimonial Scam,51504,MULE_RAND_4822,ATM_GEN_61102,31.28092,74.85849,"Patti, India",2025-07-27 10:32:40,Open
52,CMP10051,Matrimonial Scam,94143,MULE_RAND_5261,ATM_GEN_58603,24.05979,77.40858,"Leteri, India",2025-03-05 11:01:17,Open
53,CMP10052,Matrimonial Scam,89840,MULE_RAND_2931,ATM_GEN_68206,28.92694,78.23456,"Bachhraon, India",2025-05-28 08:46:51,Open
54,CMP10053,Investment Scam,280183,MULE_RINGLEADER_02,ATM_DEL_03,28.63190011934923,77.22018386208477,Barakhamba Road,2025-04-15 20:05:45,Open
55,CMP10054,UPI Phishing,6259,MULE_BLR_172,ATM_BLR_7160,12.972153124652447,77.59943360373755,Bangalore Urban,2025-09-06 13:13:48,Open
56,CMP10055,UPI Phishing,11349,MULE_BLR_353,ATM_BLR_9316,12.985412957643753,77.57698482593447,Bangalore Urban,2025-09-25 06:08:03,Open
57,CMP10056,Job Scam,19229,MULE_RAND_5400,ATM_GEN_77563,11.12018,76.11996,"Manjeri, India",2025-09-23 21:04:02,Open
58,CMP10057,Investment Scam,229913,MULE_RINGLEADER_02,ATM_DEL_02,28.628669930727593,77.21923028467796,Connaught Place Block B,2025-05-06 22:32:02,Open
59,CMP10058,Investment Scam,195107,MULE_RINGLEADER_02,ATM_DEL_03,28.63221649678636,77.22032333575731,Barakhamba Road,2025-11-24 07:56:57,Open
60,CMP10059,Job Scam,77395,MULE_RAND_3424,ATM_GEN_86555,25.92493,73.66633,"Sojat, India",2025-03-30 22:52:57,Open
61,CMP10060,Job Scam,4331,MULE_RAND_2813,ATM_GEN_52725,12.04161,75.35927,"Talipparamba, India",2025-11-09 15:34:14,Open
62,CMP10061,Matrimonial Scam,52161,MULE_RAND_9110,ATM_GEN_98679,29.22254,79.5286,"Haldwani, India",2025-06-05 19:07:36,Open
63,CMP10062,UPI Phishing,5217,MULE_BLR_778,ATM_BLR_3846,12.963213599589894,77.59746232502022,Bangalore Urban,2025-04-14 23:31:33,Open
64,CMP10063,Investment Scam,162139,MULE_RINGLEADER_02,ATM_DEL_02,28.629258124872063,77.21880655295787,Connaught Place Block B,2025-01-26 16:55:21,Open
65,CMP10064,Matrimonial Scam,34083,MULE_RAND_1490,ATM_GEN_20454,28.98002,77.70636,"Meerut, India",2025-08-09 06:30:04,Open
66,CMP10065,UPI Phishing,13325,MULE_BLR_902,ATM_BLR_3707,12.974948455510715,77.59591264946197,Bangalore Urban,2025-10-06 19:26:45,Open
67,CMP10066,UPI Phishing,16730,MULE_BLR_544,ATM_BLR_1000,12.954042039719287,77.6094094578182,Bangalore Urban,2025-05-03 05:00:37,Open
68,CMP10067,Job Scam,53266,MULE_RAND_9589,ATM_GEN_45364,28.98002,77.70636,"Meerut, India",2025-09-12 13:07:52,Open
69,CMP10068,UPI Phishing,11117,MULE_BLR_980,ATM_BLR_9584,12.974242843345976,77.60530084182464,Bangalore Urban,2025-07-13 21:10:21,Open
70,CMP10069,Matrimonial Scam,38374,MULE_RAND_5528,ATM_GEN_83166,14.46693,75.92694,"Davangere, India",2025-09-07 15:48:49,Open
71,CMP10070,Job Scam,36680,MULE_RAND_2739,ATM_GEN_52933,26.32293,91.00632,"Barpeta, India",2025-02-25 11:39:35,Open
72,CMP10071,Job Scam,96926,MULE_RAND_7486,ATM_GEN_98764,22.75218,72.68533,"Kheda, India",2025-02-24 05:26:56,Open
73,CMP10072,UPI Phishing,16539,MULE_BLR_208,ATM_BLR_2230,12.957706457981951,77.59317120319213,Bangalore Urban,2025-04-06 18:44:05,Open
74,CMP10073,UPI Phishing,13486,MULE_BLR_455,ATM_BLR_6959,12.983428748775966,77.5826483554533,Bangalore Urban,2025-10-17 07:48:02,Open
75,CMP10074,UPI Phishing,11585,MULE_BLR_775,ATM_BLR_9552,12.976720340204142,77.60768727074405,Bangalore Urban,2025-08-07 00:19:48,Open
76,CMP10075,Lottery Fraud,89795,MULE_RAND_7641,ATM_GEN_94999,9.57046,76.32756,"Kalavoor, India",2025-04-13 00:55:45,Open
77,CMP10076,Investment Scam,80972,MULE_RINGLEADER_01,ATM_DEL_03,28.632290294464173,77.22043764115271,Barakhamba Road,2025-10-18 02:40:24,Open
78,CMP10077,Job Scam,75903,MULE_RAND_1815,ATM_GEN_68619,32.55531,76.12647,"Chamba, India",2025-08-15 14:55:15,Open
79,CMP10078,Matrimonial Scam,41480,MULE_RAND_6064,ATM_GEN_21119,25.66795,85.83636,"Dalsingh Sarai, India",2025-05-21 14:03:05,Open
80,CMP10079,Lottery Fraud,65011,MULE_RAND_3473,ATM_GEN_30782,11.12018,76.11996,"Manjeri, India",2025-02-23 17:20:43,Open
81,CMP10080,Investment Scam,130711,MULE_RINGLEADER_01,ATM_DEL_01,28.631347254318005,77.21622466418059,Connaught Place Block A,2025-07-17 21:07:45,Open
82,CMP10081,Investment Scam,127325,MULE_RINGLEADER_01,ATM_DEL_02,28.628589690295687,77.21897785864898,Connaught Place Block B,2025-07-11 15:54:03,Open
83,CMP10082,Lottery Fraud,80448,MULE_RAND_9772,ATM_GEN_88287,21.46527,83.97573,"Sambalpur, India",2025-10-21 12:24:01,Open
84,CMP10083,Investment Scam,315125,MULE_RINGLEADER_02,ATM_DEL_01,28.631158810794613,77.21658347639571,Connaught Place Block A,2025-01-19 07:09:23,Open
85,CMP10084,Lottery Fraud,26762,MULE_RAND_7384,ATM_GEN_79592,26.44931,91.61356,"Rangia, India",2025-03-01 08:35:03,Open
86,CMP10085,Investment Scam,430524,MULE_RINGLEADER_01,ATM_DEL_02,28.629282096024895,77.21902768427114,Connaught Place Block B,2025-09-01 16:13:15,Open
87,CMP10086,UPI Phishing,14414,MULE_BLR_175,ATM_BLR_2742,12.975565620526876,77.57866032143993,Bangalore Urban,2025-03-04 03:08:25,Open
88,CMP10087,Investment Scam,375134,MULE_RINGLEADER_01,ATM_DEL_01,28.631507207131488,77.21676320917618,Connaught Place Block A,2025-11-04 14:42:53,Open
89,CMP10088,Investment Scam,211236,MULE_RINGLEADER_01,ATM_DEL_02,28.628835084511575,77.2187320196893,Connaught Place Block B,2025-09-22 06:32:40,Open
90,CMP10089,UPI Phishing,10603,MULE_BLR_702,ATM_BLR_6150,12.964606900663846,77.60510817925451,Bangalore Urban,2025-06-13 22:48:57,Open
91,CMP10090,Lottery Fraud,77355,MULE_RAND_5821,ATM_GEN_73510,14.62072,74.83554,"Sirsi, India",2025-05-30 10:17:28,Open
92,CMP10091,Lottery Fraud,80664,MULE_RAND_8089,ATM_GEN_92015,12.1277,78.15794,"Dharmapuri, India",2025-08-20 10:04:57,Open
93,CMP10092,UPI Phishing,8697,MULE_BLR_429,ATM_BLR_5149,12.97734428107914,77.59760368168375,Bangalore Urban,2025-07-01 18:32:28,Open
94,CMP10093,Matrimonial Scam,41342,MULE_RAND_7322,ATM_GEN_92031,23.18,88.58,"Aistala, India",2025-04-08 15:20:57,Open
95,CMP10094,UPI Phishing,6218,MULE_BLR_225,ATM_BLR_8189,12.974517584082294,77.6079738132949,Bangalore Urban,2025-08-03 20:26:20,Open
96,CMP10095,Investment Scam,471172,MULE_RINGLEADER_01,ATM_DEL_02,28.62889919039498,77.21944298599237,Connaught Place Block B,2025-01-05 11:00:39,Open
97,CMP10096,Investment Scam,205672,MULE_RINGLEADER_01,ATM_DEL_03,28.63151692238,77.22025308850716,Barakhamba Road,2025-09-22 04:42:03,Open
98,CMP10097,UPI Phishing,11697,MULE_BLR_449,ATM_BLR_9329,12.968909033485913,77.57611151014233,Bangalore Urban,2025-10-07 21:36:51,Open
99,CMP10098,Job Scam,50267,MULE_RAND_1639,ATM_GEN_81940,26.44931,91.61356,"Rangia, India",2025-09-22 18:00:04,Open
100,CMP10099,Lottery Fraud,89168,MULE_RAND_7627,ATM_GEN_22428,9.57046,76.32756,"Kalavoor, India",2025-10-19 14:41:18,Open
101,CMP10100,Job Scam,3236,MULE_RAND_9243,ATM_GEN_61194,23.1959,86.51499,"Kenda, India",2025-10-26 11:51:33,Open
102,CMP10101,Job Scam,25802,MULE_RAND_4477,ATM_GEN_41774,21.53889,71.57737,"Gariadhar, India",2025-02-13 07:44:29,Open
103,CMP10102,Investment Scam,104496,MULE_RINGLEADER_01,ATM_DEL_03,28.631822063716694,77.22035080096477,Barakhamba Road,2025-04-24 23:37:10,Open
104,CMP10103,Investment Scam,488554,MULE_RINGLEADER_01,ATM_DEL_03,28.631827395928326,77.22035455735994,Barakhamba Road,2025-06-18 20:18:21,Open
105,CMP10104,UPI Phishing,15918,MULE_BLR_623,ATM_BLR_6768,12.95520032928218,77.58578542446678,Bangalore Urban,2025-03-03 10:08:13,Open
106,CMP10105,UPI Phishing,9044,MULE_BLR_471,ATM_BLR_4922,12.95559218652954,77.57611611988513,Bangalore Urban,2025-06-26 05:00:41,Open
107,CMP10106,UPI Phishing,8163,MULE_BLR_642,ATM_BLR_2719,12.960530608630089,77.57905565443166,Bangalore Urban,2025-01-02 06:14:54,Open
108,CMP10107,Lottery Fraud,27026,MULE_RAND_9371,ATM_GEN_63134,22.75218,72.68533,"Kheda, India",2025-07-14 09:48:02,Open
109,CMP10108,Matrimonial Scam,45392,MULE_RAND_2293,ATM_GEN_32631,20.88098,75.11937,"Parola, India",2025-07-17 03:56:10,Open
110,CMP10109,UPI Phishing,4945,MULE_BLR_153,ATM_BLR_4896,12.952126630469316,77.60082567437887,Bangalore Urban,2025-02-11 07:49:14,Open
111,CMP10110,Lottery Fraud,61620,MULE_RAND_3032,ATM_GEN_70102,26.2649,81.54855,"Jais, India",2025-11-23 20:55:36,Open
112,CMP10111,UPI Phishing,8203,MULE_BLR_687,ATM_BLR_2681,12.964776664394318,77.5837935853187,Bangalore Urban,2025-09-06 03:26:27,Open
113,CMP10112,Lottery Fraud,73005,MULE_RAND_6912,ATM_GEN_20850,22.4711,88.1453,"Pujali, India",2025-08-25 12:00:49,Open
114,CMP10113,Investment Scam,213091,MULE_RINGLEADER_01,ATM_DEL_03,28.631977124486543,77.21974869981688,Barakhamba Road,2025-03-19 05:59:09,Open
115,CMP10114,Investment Scam,461046,MULE_RINGLEADER_01,ATM_DEL_01,28.63130038556176,77.216362479666,Connaught Place Block A,2025-03-01 08:33:54,Open
116,CMP10115,UPI Phishing,12537,MULE_BLR_616,ATM_BLR_6068,12.95218202188102,77.58989066072431,Bangalore Urban,2025-05-26 05:07:46,Open
117,CMP10116,Investment Scam,258120,MULE_RINGLEADER_02,ATM_DEL_01,28.631874976878283,77.2169703188131,Connaught Place Block A,2025-10-24 03:06:56,Open
118,CMP10117,Matrimonial Scam,98951,MULE_RAND_1686,ATM_GEN_86945,10.12268,77.54372,"Periyakulam, India",2025-07-29 11:22:36,Open
119,CMP10118,Lottery Fraud,93950,MULE_RAND_4496,ATM_GEN_13736,23.18,88.58,"Aistala, India",2025-01-01 05:19:49,Open
120,CMP10119,Matrimonial Scam,99590,MULE_RAND_2531,ATM_GEN_42536,26.76628,83.36889,"Gorakhpur, India",2025-07-09 18:08:07,Open
121,CMP10120,Job Scam,53165,MULE_RAND_6878,ATM_GEN_43320,9.82564,78.25795,"Tiruppuvanam, India",2025-02-13 10:40:57,Open
122,CMP10121,Lottery Fraud,24858,MULE_RAND_7028,ATM_GEN_80552,19.21667,73.08333,"Dombivli, India",2025-11-19 23:41:04,Open
123,CMP10122,Matrimonial Scam,58802,MULE_RAND_6745,ATM_GEN_59775,16.06213,76.0586,"Hungund, India",2025-04-03 23:51:26,Open
124,CMP10123,Job Scam,52794,MULE_RAND_1751,ATM_GEN_55233,25.92493,73.66633,"Sojat, India",2025-04-04 13:05:09,Open
125,CMP10124,Lottery Fraud,35941,MULE_RAND_7379,ATM_GEN_45629,11.50526,77.23826,"Sathyamangalam, India",2025-02-03 06:20:52,Open
126,CMP10125,Investment Scam,66617,MULE_RINGLEADER_01,ATM_DEL_03,28.63214274874844,77.22048230376956,Barakhamba Road,2025-10-12 05:52:23,Open
127,CMP10126,Job Scam,96840,MULE_RAND_8166,ATM_GEN_18823,24.41288,76.56719,"Aklera, India",2025-11-13 21:53:16,Open
128,CMP10127,Lottery Fraud,94882,MULE_RAND_9656,ATM_GEN_56168,14.62072,74.83554,"Sirsi, India",2025-10-23 09:19:33,Open
129,CMP10128,Lottery Fraud,58213,MULE_RAND_9319,ATM_GEN_26791,9.57046,76.32756,"Kalavoor, India",2025-10-25 10:05:39,Open
130,CMP10129,Investment Scam,288343,MULE_RINGLEADER_01,ATM_DEL_01,28.631388655894384,77.21639125603134,Connaught Place Block A,2025-02-18 20:10:22,Open
131,CMP10130,Job Scam,61691,MULE_RAND_6924,ATM_GEN_23109,24.81757,84.63445,"Rafiganj, India",2025-09-14 05:19:24,Open
132,CMP10131,Matrimonial Scam,6920,MULE_RAND_5450,ATM_GEN_83831,21.59983,71.21169,"Amreli, India",2025-08-02 12:32:27,Open
133,CMP10132,Matrimonial Scam,78692,MULE_RAND_9880,ATM_GEN_35113,31.28092,74.85849,"Patti, India",2025-04-13 22:30:24,Open
134,CMP10133,Lottery Fraud,75907,MULE_RAND_9202,ATM_GEN_55753,23.18,88.58,"Aistala, India",2025-08-24 13:51:54,Open
135,CMP10134,Matrimonial Scam,96105,MULE_RAND_9761,ATM_GEN_20363,32.55531,76.12647,"Chamba, India",2025-03-24 06:06:08,Open
136,CMP10135,Matrimonial Scam,92139,MULE_RAND_8706,ATM_GEN_62996,25.6439,77.9129,"Narwar, India",2025-10-04 21:09:57,Open
137,CMP10136,Investment Scam,352223,MULE_RINGLEADER_01,ATM_DEL_02,28.629043931570795,77.21901952487971,Connaught Place Block B,2025-05-02 01:24:23,Open
138,CMP10137,Matrimonial Scam,50001,MULE_RAND_4425,ATM_GEN_19118,25.66795,85.83636,"Dalsingh Sarai, India",2025-09-18 20:34:34,Open
139,CMP10138,Investment Scam,490377,MULE_RINGLEADER_02,ATM_DEL_03,28.632288372851797,77.22020557574608,Barakhamba Road,2025-09-10 09:18:09,Open
140,CMP10139,UPI Phishing,17760,MULE_BLR_529,ATM_BLR_2704,12.969632382345255,77.5945294354452,Bangalore Urban,2025-05-26 00:31:52,Open
141,CMP10140,UPI Phishing,18198,MULE_BLR_300,ATM_BLR_5672,12.966814825392019,77.61380399757584,Bangalore Urban,2025-06-20 03:23:19,Open
142,CMP10141,Lottery Fraud,94809,MULE_RAND_8967,ATM_GEN_38139,17.34769,78.55757,"Lal Bahadur Nagar, India",2025-06-25 08:09:21,Open
143,CMP10142,Matrimonial Scam,53174,MULE_RAND_5235,ATM_GEN_34510,33.37526,74.3092,"Rajaori, India",2025-04-07 06:38:52,Open
144,CMP10143,Lottery Fraud,61587,MULE_RAND_8703,ATM_GEN_10035,11.12018,76.11996,"Manjeri, India",2025-01-25 20:45:52,Open
145,CMP10144,Job Scam,40010,MULE_RAND_3478,ATM_GEN_72589,21.53889,71.57737,"Gariadhar, India",2025-01-09 04:03:12,Open
146,CMP10145,Investment Scam,424485,MULE_RINGLEADER_02,ATM_DEL_02,28.62859126777058,77.21895811775501,Connaught Place Block B,2025-08-17 11:26:04,Open
147,CMP10146,Investment Scam,249221,MULE_RINGLEADER_02,ATM_DEL_03,28.631808036184907,77.21991690683518,Barakhamba Road,2025-08-04 02:55:22,Open
148,CMP10147,UPI Phishing,19516,MULE_BLR_521,ATM_BLR_5188,12.98189552557206,77.58052805804908,Bangalore Urban,2025-03-31 08:49:29,Open
149,CMP10148,UPI Phishing,11968,MULE_BLR_726,ATM_BLR_4091,12.956689599357317,77.59183881074647,Bangalore Urban,2025-08-17 12:39:33,Open
150,CMP10149,Matrimonial Scam,22160,MULE_RAND_5697,ATM_GEN_98831,11.12018,76.11996,"Manjeri, India",2025-01-03 19:01:24,Open
151,CMP10150,Matrimonial Scam,41036,MULE_RAND_1077,ATM_GEN_21095,25.13915,73.06784,"Sheoganj, India",2025-10-02 21:33:20,Open
152,CMP10151,Matrimonial Scam,81936,MULE_RAND_7742,ATM_GEN_35037,25.92493,73.66633,"Sojat, India",2025-03-30 21:53:31,Open
153,CMP10152,UPI Phishing,7561,MULE_BLR_298,ATM_BLR_2931,12.978111366640238,77.58835963622477,Bangalore Urban,2025-01-27 04:12:59,Open
154,CMP10153,Job Scam,12514,MULE_RAND_4299,ATM_GEN_72389,12.04161,75.35927,"Talipparamba, India",2025-05-09 07:49:00,Open
155,CMP10154,UPI Phishing,15971,MULE_BLR_855,ATM_BLR_2799,12.971737086013194,77.60838433800419,Bangalore Urban,2025-01-28 12:26:18,Open
156,CMP10155,Matrimonial Scam,60462,MULE_RAND_9380,ATM_GEN_37845,22.10194,85.37752,"Barbil, India",2025-04-03 10:21:50,Open
157,CMP10156,Lottery Fraud,32942,MULE_RAND_1306,ATM_GEN_31829,29.21399,78.95693,"Kashipur, India",2025-09-17 19:19:29,Open
158,CMP10157,Investment Scam,365686,MULE_RINGLEADER_01,ATM_DEL_03,28.632389866251913,77.22012779840138,Barakhamba Road,2025-07-08 12:23:27,Open
159,CMP10158,Lottery Fraud,97128,MULE_RAND_8760,ATM_GEN_84441,28.98002,77.70636,"Meerut, India",2025-07-29 10:01:28,Open
160,CMP10159,Matrimonial Scam,6528,MULE_RAND_5047,ATM_GEN_36285,24.81757,84.63445,"Rafiganj, India",2025-10-08 22:08:04,Open
161,CMP10160,UPI Phishing,6514,MULE_BLR_243,ATM_BLR_7975,12.986383570465525,77.61121769465835,Bangalore Urban,2025-08-10 18:30:26,Open
162,CMP10161,Matrimonial Scam,92082,MULE_RAND_6694,ATM_GEN_42777,21.59983,71.21169,"Amreli, India",2025-04-05 08:53:54,Open
163,CMP10162,UPI Phishing,8295,MULE_BLR_760,ATM_BLR_3705,12.966633056170235,77.5944096051827,Bangalore Urban,2025-11-01 17:10:59,Open
164,CMP10163,Job Scam,24092,MULE_RAND_3505,ATM_GEN_29710,21.59983,71.21169,"Amreli, India",2025-11-10 14:25:03,Open
165,CMP10164,UPI Phishing,12130,MULE_BLR_880,ATM_BLR_1928,12.98151860760807,77.60956584140244,Bangalore Urban,2025-06-08 02:04:25,Open
166,CMP10165,Matrimonial Scam,86329,MULE_RAND_2682,ATM_GEN_18330,18.18158,76.03889,"Osmanabad, India",2025-02-06 15:10:48,Open
167,CMP10166,Investment Scam,479678,MULE_RINGLEADER_02,ATM_DEL_03,28.632161710273813,77.220084310318,Barakhamba Road,2025-02-07 15:27:38,Open
168,CMP10167,UPI Phishing,12045,MULE_BLR_974,ATM_BLR_9354,12.987211608719704,77.57825590013518,Bangalore Urban,2025-09-13 22:09:51,Open
169,CMP10168,Lottery Fraud,21415,MULE_RAND_5756,ATM_GEN_33637,20.88197,85.83334,"Bhuban, India",2025-05-18 14:17:33,Open
170,CMP10169,Investment Scam,374164,MULE_RINGLEADER_01,ATM_DEL_03,28.6322438803478,77.21955005652562,Barakhamba Road,2025-06-14 12:02:20,Open
171,CMP10170,Job Scam,22479,MULE_RAND_6499,ATM_GEN_34920,15.5439,73.7553,"Calangute, India",2025-07-01 08:59:07,Open
172,CMP10171,Job Scam,34131,MULE_RAND_7341,ATM_GEN_11146,34.08565,74.80555,"Srinagar, India",2025-09-19 12:12:44,Open
173,CMP10172,Matrimonial Scam,68442,MULE_RAND_5058,ATM_GEN_63616,25.87498,86.59611,"Saharsa, India",2025-01-24 12:57:03,Open
174,CMP10173,Job Scam,13255,MULE_RAND_9893,ATM_GEN_59115,25.66795,85.83636,"Dalsingh Sarai, India",2025-10-10 19:26:33,Open
175,CMP10174,UPI Phishing,18822,MULE_BLR_127,ATM_BLR_9678,12.988370235360383,77.61364959326075,Bangalore Urban,2025-05-12 18:31:46,Open
